image,method,run_idx,encoding_time_sec,psnr_actual,psnr_db,mse_mean,mse_max,compression_ratio,n_evaluations,n_evals_global,n_evals_ls,ls_triggers,ls_improvements,fic_file_size_kb,bits_per_code,decode_iterations,fic_file_size_bytes,ls_improvement_rate_pct,ls_overhead_pct,mppso_ls,mppso_ls_freq,mppso_ls_top_pct,mppso_max_iter,mppso_pop_size,mppso_pyramid,mpso_ls,mpso_max_iter,mpso_pop_size,n_domain,n_range,ppso_c1,ppso_c2,ppso_max_iter,ppso_pop_size,ppso_pyramid,ppso_w,pso_c1,pso_c2,pso_max_iter,pso_pop_size,pso_w
boat,full_search,0,540.442,30.27,30.58,56.9394,3576.8035,4.41,33554432,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,,,,,
cameraman,full_search,0,541.464,31.38,31.55,45.5443,1999.0555,4.41,33554432,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,,,,,
house,full_search,0,541.735,37.03,37.34,11.9836,662.1417,4.41,33554432,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,,,,,
jetplane,full_search,0,542.217,31.01,31.28,48.4127,1956.3514,4.41,33554432,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,,,,,
lake,full_search,0,543.342,29.4,29.63,70.7768,1950.1224,4.41,33554432,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,,,,,
boat,pso,0,26.825,27.77,28.01,102.7262,5013.2137,4.41,1036040,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,2.0,2.0,30,40,0.9
cameraman,pso,0,26.639,27.59,27.79,108.0962,4313.2109,4.41,1030960,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,2.0,2.0,30,40,0.9
house,pso,0,24.61,32.04,32.3,38.3113,3311.923,4.41,955000,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,2.0,2.0,30,40,0.9
jetplane,pso,0,26.848,27.98,28.17,99.0603,3281.4159,4.41,1040520,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,2.0,2.0,30,40,0.9
lake,pso,0,26.427,26.27,26.35,150.5494,3399.9906,4.41,1023560,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,,,,,,,2.0,2.0,30,40,0.9
boat,ppso,0,48.865,27.68,27.91,105.2435,5711.7026,4.41,990910,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,2.0,2.0,30,40,"[2, 6, 12, 20]",0.9,,,,,
cameraman,ppso,0,48.145,27.68,27.85,106.7046,4355.1458,4.41,976888,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,2.0,2.0,30,40,"[2, 6, 12, 20]",0.9,,,,,
house,ppso,0,44.094,31.77,31.97,41.2878,3296.2088,4.41,902142,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,2.0,2.0,30,40,"[2, 6, 12, 20]",0.9,,,,,
jetplane,ppso,0,48.477,27.76,27.92,105.0116,3758.9229,4.41,983652,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,2.0,2.0,30,40,"[2, 6, 12, 20]",0.9,,,,,
lake,ppso,0,47.857,26.26,26.36,150.3781,4753.0904,4.41,970542,,,,,16.52,29,20,16912,,,,,,,,,,,,1024,4096,2.0,2.0,30,40,"[2, 6, 12, 20]",0.9,,,,,
boat,memetic_pso,0,35.519,28.27,28.56,90.5598,4481.55,4.41,1451070,1093840,357230,2510,16178,16.52,29,20,16912,,,,,,,,,"['isometry', 'spatial']",30,40,1024,4096,,,,,,,,,,,
cameraman,memetic_pso,0,34.764,28.41,28.58,90.1656,3840.6854,4.41,1419318,1075600,343718,2420,15664,16.52,29,20,16912,,,,,,,,,"['isometry', 'spatial']",30,40,1024,4096,,,,,,,,,,,
house,memetic_pso,0,31.689,32.98,33.21,31.0201,2663.9458,4.41,1284358,994440,289918,1947,13092,16.52,29,20,16912,,,,,,,,,"['isometry', 'spatial']",30,40,1024,4096,,,,,,,,,,,
jetplane,memetic_pso,0,35.77,28.58,28.78,86.0582,3285.6718,4.41,1452151,1095480,356671,2532,16198,16.52,29,20,16912,,,,,,,,,"['isometry', 'spatial']",30,40,1024,4096,,,,,,,,,,,
lake,memetic_pso,0,34.927,26.79,26.93,131.7584,3551.6079,4.41,1424884,1077360,347524,2436,15573,16.52,29,20,16912,,,,,,,,,"['isometry', 'spatial']",30,40,1024,4096,,,,,,,,,,,
boat,memetic_ppso,0,45.495,27.97,28.18,98.9166,4460.3497,4.41,1066490,783344,283146,2502,9547,16.52,29,20,16912,381.57,26.55,"['isometry', 'spatial']",5,0.2,30,30,"[2, 4, 8, 16]",,,,1024,4096,,,,,,,,,,,
cameraman,memetic_ppso,0,44.558,28.32,28.43,93.3327,3492.2447,4.41,1044013,771976,272037,2389,9152,16.52,29,20,16912,383.09,26.06,"['isometry', 'spatial']",5,0.2,30,30,"[2, 4, 8, 16]",,,,1024,4096,,,,,,,,,,,
house,memetic_ppso,0,41.364,32.76,32.99,32.6759,3109.2864,4.41,964127,725272,238855,2003,8274,16.52,29,20,16912,413.08,24.77,"['isometry', 'spatial']",5,0.2,30,30,"[2, 4, 8, 16]",,,,1024,4096,,,,,,,,,,,
jetplane,memetic_ppso,0,45.347,28.32,28.51,91.537,2353.0439,4.41,1069033,783540,285493,2536,9480,16.52,29,20,16912,373.82,26.71,"['isometry', 'spatial']",5,0.2,30,30,"[2, 4, 8, 16]",,,,1024,4096,,,,,,,,,,,
lake,memetic_ppso,0,45.469,26.62,26.75,137.4157,3505.5312,4.41,1067106,782756,284350,2520,9287,16.52,29,20,16912,368.53,26.65,"['isometry', 'spatial']",5,0.2,30,30,"[2, 4, 8, 16]",,,,1024,4096,,,,,,,,,,,
